SG_UF,PC_NIVEL_1,PC_NIVEL_2,PC_NIVEL_3,PC_NIVEL_4,PC_NIVEL_5,PC_NIVEL_6,PC_NIVEL_7,PC_NIVEL_8
AC,4.274763779527559,34.00385826771653,23.389094488188977,18.019448818897636,11.730551181102362,5.080944881889764,3.211299212598425,0.28885826771653544
AL,5.63948275862069,32.40213248638839,25.495254083484575,19.419038112522685,10.315753176043556,4.643666061705989,1.9073139745916516,0.17780399274047187
AM,9.309705488621152,42.24858099062918,22.361258366800538,13.815153949129853,6.923788487282462,3.2443641231593037,1.8868942436412315,0.21025435073627846
AP,3.1593684210526316,29.46084210526316,25.11057894736842,21.698315789473686,11.979315789473684,5.622368421052632,2.7785789473684206,0.18989473684210526
BA,3.3768749999999996,26.368659131205675,25.46331560283688,22.844051418439715,13.641917109929079,5.693169326241135,2.385219414893617,0.2267929964539007
CE,5.209104983067247,33.43386066763425,25.622622157716496,19.087527818093854,10.444808901790033,4.33807450411224,1.695752298016449,0.1681712626995646
DF,0.2381818181818182,3.9845454545454544,9.319090909090908,17.62818181818182,21.332727272727272,18.73818181818182,24.186363636363637,4.569090909090909
ES,1.017360285374554,11.501997621878717,17.072913198573126,23.839536266349583,21.921843043995246,14.779595719381687,9.039108204518431,0.8274910820451843
GO,0.7137800534283171,8.290614425645593,15.838971504897597,25.256714158504007,25.620160284951023,15.659020480854855,7.949403383793411,0.6716251113089938
MA,7.360817212791157,38.20273193841295,24.486103434662457,16.856107382550334,8.371298855112515,3.2828780102645085,1.3031543624161073,0.13687722068693248
MG,1.262791431199895,12.688454461821527,17.53000525693258,23.580653173873046,21.714262058089105,13.95491523196215,8.501875410697858,0.7668997240110396
MS,0.8022166246851385,9.540201511335013,15.462619647355163,24.087833753148615,24.49692695214106,15.043249370277078,9.480012594458438,1.0868387909319899
MT,0.39452149791955615,8.710596393897365,17.63135922330097,26.46675450762829,24.356019417475725,13.659105409153954,8.020929264909848,0.7607697642163661
PA,6.744912067919952,35.28038204972711,24.132437841115827,18.19810187992723,9.84298969072165,3.916246209824136,1.724760460885385,0.160369921164342
PB,4.084616067465602,30.340719041278295,25.947549933422106,21.42138482023968,11.550727918331114,4.756502441189525,1.7526231691078562,0.14607190412782958
PE,4.024195906432748,28.387753411306043,26.04992202729045,21.801052631578948,12.552651072124757,4.984576023391813,1.9967933723196882,0.2033918128654971
PI,6.145921487603306,35.943764462809916,24.654363636363634,18.382793388429754,9.64753305785124,3.7486074380165286,1.366086776859504,0.11066942148760331
PR,0.3041995841995842,5.8252806652806655,12.245122141372143,21.530839397089398,25.496070686070688,19.608578482328483,13.62308212058212,1.3668425155925155
RJ,0.5907135777998017,8.967333994053519,16.957898909811696,25.131932606541127,23.888404360753224,14.961783944499505,8.668840436075323,0.8325371655104064
RN,2.519084014002334,23.994107351225207,26.095898483080514,24.17698366394399,14.21186114352392,6.242911318553093,2.5035355892648776,0.2551166861143524
RO,0.3843580470162749,11.169602169981916,23.193291139240504,29.348083182640146,21.815858951175407,9.408535262206149,4.326582278481013,0.3538517179023508
RR,5.819942528735632,29.03724137931034,23.24189655172414,19.95925287356322,12.586954022988506,5.563965517241379,3.3889080459770113,0.4013793103448276
RS,0.21729518581081078,4.044480574324324,9.152141047297297,17.816898226351352,24.24811233108108,23.142369087837835,19.31445945945946,2.0642398648648648
SC,0.07189955585924154,2.4518517253160232,7.081243594123676,16.3727195080287,26.6063409634438,25.290683293474547,20.185015374103177,1.9399453365220363
SE,5.226289537712896,31.252068126520683,25.11273722627737,20.122165450121653,11.728236009732361,4.708953771289537,1.7195255474452555,0.13023114355231144
SP,0.31781287970838396,4.672076028467281,10.573285887866689,20.535304634612046,26.09375976392987,21.592166290574553,14.917427529942719,1.2981201180350634
TO,2.400470053070508,22.075693707354056,23.6235026535254,23.869522365428356,16.545284306292647,7.610712661106899,3.459287338893101,0.41485216072782405
