CO_UF,APROVACAO_ANO_1,APROVACAO_ANO_2,APROVACAO_ANO_3,APROVACAO_ANO_4,APROVACAO_ANO_5,APROVACAO_ANO_6,APROVACAO_ANO_7,APROVACAO_ANO_8,APROVACAO_ANO_9,APROVACAO_MEDIO_1,APROVACAO_MEDIO_2,APROVACAO_MEDIO_3,REPROVACAO_ANO_1,REPROVACAO_ANO_2,REPROVACAO_ANO_3,REPROVACAO_ANO_4,REPROVACAO_ANO_5,REPROVACAO_ANO_6,REPROVACAO_ANO_7,REPROVACAO_ANO_8,REPROVACAO_ANO_9,REPROVACAO_MEDIO_1,REPROVACAO_MEDIO_2,REPROVACAO_MEDIO_3,ABANDONO_ANO_1,ABANDONO_ANO_2,ABANDONO_ANO_3,ABANDONO_ANO_4,ABANDONO_ANO_5,ABANDONO_ANO_6,ABANDONO_ANO_7,ABANDONO_ANO_8,ABANDONO_ANO_9,ABANDONO_MEDIO_1,ABANDONO_MEDIO_2,ABANDONO_MEDIO_3
AC,98.268,95.0796,94.56521739130434,95.67193675889328,95.96758893280632,93.72893617021276,93.32320675105484,93.74406779661017,94.09198312236286,84.72535885167463,86.58620689655173,91.14450000000001,0.21680000000000002,2.616,3.2047430830039523,2.2166007905138336,1.6106719367588933,1.774468085106383,1.7848101265822784,1.2665254237288135,1.328270042194093,6.963636363636363,5.7443349753694575,4.2025,1.5152,2.3044000000000002,2.2300395256916996,2.1114624505928856,2.4217391304347826,4.496595744680851,4.89198312236287,4.989406779661017,4.579746835443038,8.311004784688995,7.669458128078818,4.6530000000000005
AL,99.44157944814462,99.50570884871551,98.92117758784426,99.51965811965812,98.86567877629064,98.25654008438818,97.73037037037037,97.32515923566879,98.27476038338658,90.22468085106384,87.14479315263908,91.98105413105412,0.07954329210275927,0.1093244529019981,0.7035137701804368,0.13808167141500474,0.735755258126195,0.8548523206751054,1.0782010582010582,1.1001061571125266,0.5851970181043663,3.75290780141844,4.2758915834522115,2.437037037037037,0.4788772597526166,0.38496669838249287,0.3753086419753086,0.3422602089268756,0.398565965583174,0.8886075949367088,1.1914285714285715,1.5747346072186839,1.140042598509052,6.022411347517731,8.579315263908702,5.581908831908832
AM,97.67031900138697,97.04924760601915,92.983698630137,95.37788331071913,92.44497282608695,92.59917582417582,92.38808864265927,91.86454293628809,92.54269819193324,90.88262350936968,88.5156089193825,90.96185567010309,0.2661581137309293,0.5818057455540356,4.468219178082192,1.754952510176391,4.66358695652174,3.045467032967033,2.6397506925207757,2.29196675900277,2.143949930458971,4.3746166950596255,5.1957118353344764,3.345360824742268,2.0635228848821083,2.3689466484268125,2.548082191780822,2.8671641791044773,2.8914402173913043,4.355357142857143,4.972160664819945,5.8434903047091415,5.313351877607789,4.742759795570699,6.288679245283019,5.6927835051546385
AP,97.33241758241758,97.31420765027322,87.94696132596685,84.97430167597766,85.59398907103825,86.75029239766081,87.498224852071,86.42848837209303,87.95755813953488,75.17784810126582,76.03607594936709,80.85,0.7994505494505495,1.325136612021858,10.230386740331491,13.698882681564246,12.404918032786885,7.897076023391813,7.9171597633136095,7.2372093023255815,6.008139534883721,14.831645569620253,12.75632911392405,9.160666666666666,1.8681318681318682,1.360655737704918,1.8226519337016573,1.3268156424581006,2.0010928961748635,5.352631578947368,4.584615384615384,6.334302325581396,6.034302325581396,9.990506329113924,11.20759493670886,9.989333333333335
BA,98.56756632064591,98.04680998613037,94.21139824642363,93.2484429065744,93.67874797874798,90.85540641312453,88.54756461232606,89.79621419676214,92.32216992816447,89.31001610305957,85.66195512820512,87.57782747603834,0.3334717416378316,0.8509477577438742,4.1093447161975085,4.64641291810842,4.089743589743589,4.712602535421327,5.50506958250497,4.698854296388543,3.291974238295764,1.0368115942028986,1.0043269230769232,0.9425239616613418,1.098961937716263,1.1022422561257512,1.6792570373788647,2.1051441753171853,2.2315084315084315,4.431991051454139,5.947365805168986,5.5049315068493145,4.3858558335397575,9.65317230273752,13.333717948717947,11.479648562300321
CE,99.86675126903553,99.85050916496945,99.87023445463812,99.82581466395112,99.8267483409903,99.60978147762746,99.51432305279666,99.46219062664561,99.58748674443267,97.8239546420978,97.5150284900285,99.08301213418986,0.05081218274111675,0.03243380855397149,0.044444444444444446,0.07856415478615073,0.07279224093925472,0.09890738813735692,0.12875065342394146,0.10573986308583466,0.047401908801696716,0.5567682494684622,0.4374643874643875,0.24875089221984298,0.08243654822335025,0.11705702647657841,0.0853211009174312,0.09562118126272913,0.1004594180704441,0.2913111342351717,0.35692629377940405,0.4320695102685624,0.3651113467656416,1.6192771084337352,2.047507122507122,0.6682369735902927
DF,99.25833333333333,99.19166666666666,89.53333333333335,99.23333333333333,95.24166666666667,98.89230769230768,94.0,98.08571428571429,93.75714285714285,82.08,86.2,92.53333333333333,0.6416666666666667,0.7416666666666667,10.4,0.6166666666666667,4.641666666666667,1.0615384615384615,5.8999999999999995,1.8,6.1499999999999995,16.720000000000002,12.946666666666665,6.739999999999999,0.10000000000000002,0.06666666666666667,0.06666666666666667,0.15,0.11666666666666668,0.04615384615384616,0.1,0.1142857142857143,0.09285714285714286,1.2,0.8533333333333334,0.7266666666666667
ES,99.56160092807426,98.9264739884393,95.9242774566474,95.67735632183908,97.86843317972351,96.67902097902099,94.4856976744186,94.9,96.67187864644107,92.387893081761,91.70738993710692,95.3180817610063,0.3277262180974478,0.9396531791907514,3.9349132947976875,4.11367816091954,1.9294930875576037,2.9406759906759907,4.644418604651163,4.079229871645274,2.406884480746791,6.0539308176100635,5.663364779874214,2.0103773584905658,0.11067285382830627,0.13387283236994219,0.14080924855491328,0.20896551724137932,0.202073732718894,0.3803030303030303,0.8698837209302326,1.0207701283547257,0.9212368728121354,1.5581761006289307,2.629245283018868,2.6715408805031444
GO,99.39386882129278,99.26530223702999,98.05756143667296,97.70889513108615,98.32079812206572,98.39461105904405,97.79148936170213,97.63147973609802,98.32303290414877,95.92623042505593,96.55837988826816,98.27685290763968,0.2897813688212928,0.510851975249881,1.6648393194706994,1.922940074906367,1.4099530516431924,1.2643861293345828,1.5890307328605202,1.6697926484448635,1.0539818788745827,2.6588926174496645,2.22608938547486,1.0150513112884834,0.3163498098859316,0.22384578772013328,0.27759924385633267,0.36816479400749064,0.2692488262910798,0.34100281162136836,0.6194799054373523,0.6987276154571159,0.6229852169766333,1.4148769574944073,1.2155307262569834,0.7080957810718358
MA,98.65904545454545,98.35027149321267,96.70031789282471,95.69968181818182,95.04484958979033,93.75554537121907,92.84862005519778,92.82126276694522,93.53752310536045,88.38739316239317,87.47396226415096,89.52742980561554,0.24659090909090908,0.47067873303167423,2.1813351498637603,2.9604090909090908,3.169644484958979,3.2350595783684692,3.0451241950321988,2.679572887650882,1.795887245841035,4.596207264957265,4.435309973045822,3.1886069114470845,1.0943636363636364,1.179049773755656,1.118346957311535,1.339909090909091,1.7855059252506837,3.009395050412466,4.10625574977001,4.4991643454039,4.666589648798522,7.016399572649573,8.090727762803233,7.283963282937365
